ཀཝ་ kau
ཀྲེམ་ཟེ་ tremze
ཀྲོག་ tro
ཀླདཔ་ ’lep
ཀུན་གསལ་ Künsel
ཀུཝ་ gourd
ཀུཝ་ kû
ཀུཝ་ kû
ཀོཝ་ kou
ཁ་ kha
ཁབ་ khap
ཁབ་ཏོག་ khapto
ཁམ་ kham
ཁཝ་ khau
ཁྱལ་ khä
ཁྱིམ་ chim
ཁྱུ་ chu
ཁྱོད་ chö
ཁྲག་ thrâ
ཁྲུས་ཁང་ thrükha
ཁྲོམ་ཁ་ thromkha
ཁུ་བ་ khwo
ཁོ་ kho
ག་ཅི་ g’aci
གངས་རི་ g’angri
གཅད་ cê
གཅིག་ ci,
གཉིད་ལམ་ nyela
གཉིས་ ’nyî
གཉིས་ ’nyî
གཉེན་ ’nyen
གཏང་ tang
གདན་ཁེབ་ den-khep
གདོང་ dong
གནགཔོ་ ’nap
གནང་ ’nang
གནམ་ ’nam
གནམ་དགུན་ ’namgün
གནམ་བྱཱ་ ’nambjâ
གཙང་ཏོག་ཏོ་ tsangtoto
གཞུ་ zhu
གཞོནམ་ zhöm
གཟི་ zi
གཟིག་ zî
གཟུགས་ zû
གཟུང་ནི་ zungni
གཟེདམ་ zêm
གཟེར་ dzê
གཟེར་ dzê
གཡག་ ’yâ
གཡསཔ་ ’yäp
གཡུས་ ’ü
གཡེབ་ ’yep
གཡོན་ ’öng
གྱངམ་མས་ j’âmme
གྱངས་ཁ་ j’angkha
གྱལ་ g’ä
གྱལ་ g’ä
གྲང་ནད་ dr’angne
གྲྭ་ཚང་ dr’atsha
གྲུ་ dr’u
གླང་ ’lang
གླངམོ་ཆེ་ ’lâmche
གླངམོ་ཆེ་ ’lâmche
གླུ་ ’lu
གླུ་ ’lu
གླུད་ ’lü
གླེན་ལྐུགས་ ’lenggo
གློ་ ’lo
གློ་ ’lo
གཤོང་ shong
གསརཔ་ sâp
གསེབ་ sep
གསེབ་ sep
གསེབ་ stallion
གསེར་ sê
གསེར་ sê
གསེར་ sê
གསོབ་ sop
གཱ་ g’â
གུར་ g’û
གུས་ཞབས་ g’üzh’ap
གུས་ཞབས་ g’üzh’ap
གོན་ g’ön
གོན་ g’ön
ང་ nga
ང་ nga
ང་ nga
ངག་ ngâ
ངག་ ngâ
ངནམ་ ngem
ངལ་འཚོ་ ngätsho
ངོ་ཤེས་ ngoshê
ཆང་ chang
ཆང་གི་ཕོའོ་ changgi
ཆདཔ་ chep
ཆརཔ་ châp
ཆརཔ་ châp
ཆུ་ chu
ཆུ་ chu
ཇ་ j’a
ཇ་ཆང་ j’achang
ཇོ་བདག་ j’ôda
ཉ་རོགསཔ་ nyarop
ཉམས་མྱོང་ nyamnyong
ཉི་མའི་ལྟོ་ nyimaito
ཏིང་ ting
ཐབ་ཤིང་ thapshi
ཐིའུ་ thiu
དཀྱིས་ ki
དཀྱུས་རིང་ cüring
དཀརཔོ་ kâp
དཀྲོགས་ trô
དགའ་ ga
དགའ་ཏོག་ཏོ་ gatoto
དགུ་ gu
དངུལ་ ’ngü
དངུལ་ཀྲམ་ ’ngütram
དངོས་ ’nö
དཔའ་བོ་ pao
དཔྱལཝ་ pcäu
དཔྱི་སྨད་ pcimi
དཔོན་ pön
དབང་ ’wang
དབོག་ནི་ ’ôni
དམག་མི་ ’mâmi
དམྱལ་བ་ ’nyäwa
དམརཔོ་ red
དམརཔོ་ ’mâp
